estacio,codi_contaminant,any,mes,dia,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,nom_cabina,longitud,latitud,desc_contaminant,unitats
4,7,2021,12,1,23.0,27.0,13.0,1.0,1.0,1.0,2.0,5.0,9.0,7.0,6.0,8.0,9.0,9.0,15.0,21.0,8.0,4.0,3.0,2.0,3.0,2.0,2.0,1.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,2,2.0,2.0,2.0,1.0,1.0,2.0,3.0,8.0,12.0,11.0,9.0,10.0,6.0,,5.0,4.0,5.0,14.0,8.0,8.0,2.0,2.0,1.0,2.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,3,3.0,1.0,1.0,1.0,1.0,1.0,7.0,27.0,77.0,73.0,42.0,22.0,26.0,9.0,14.0,15.0,16.0,42.0,78.0,110.0,155.0,107.0,96.0,69.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,4,64.0,55.0,35.0,4.0,4.0,2.0,2.0,2.0,3.0,8.0,5.0,9.0,5.0,3.0,3.0,3.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,5,1.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,6,2.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,3.0,6.0,4.0,3.0,3.0,1.0,1.0,4.0,2.0,11.0,38.0,53.0,50.0,45.0,27.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,7,33.0,34.0,18.0,11.0,11.0,2.0,7.0,21.0,41.0,56.0,80.0,50.0,29.0,16.0,7.0,6.0,6.0,6.0,6.0,8.0,4.0,6.0,25.0,14.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,8,8.0,28.0,26.0,4.0,6.0,2.0,2.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,1.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,9,1.0,1.0,2.0,1.0,1.0,1.0,1.0,2.0,4.0,7.0,13.0,8.0,5.0,5.0,4.0,3.0,3.0,6.0,3.0,1.0,1.0,1.0,1.0,2.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,10,2.0,7.0,1.0,1.0,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4.0,3.0,4.0,2.0,2.0,1.0,2.0,1.0,1.0,1.0,1.0,1.0,1.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,11,4.0,5.0,2.0,1.0,1.0,2.0,3.0,7.0,20.0,24.0,19.0,21.0,7.0,3.0,2.0,2.0,1.0,1.0,3.0,9.0,42.0,31.0,21.0,9.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,12,8.0,8.0,6.0,4.0,4.0,8.0,10.0,9.0,7.0,4.0,4.0,4.0,4.0,6.0,4.0,2.0,3.0,5.0,8.0,30.0,7.0,9.0,16.0,15.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,13,5.0,9.0,20.0,10.0,7.0,15.0,32.0,55.0,80.0,73.0,91.0,92.0,72.0,16.0,12.0,8.0,5.0,7.0,11.0,22.0,68.0,77.0,93.0,75.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,14,47.0,30.0,25.0,19.0,14.0,21.0,23.0,34.0,67.0,76.0,52.0,66.0,50.0,,,4.0,3.0,3.0,88.0,101.0,175.0,175.0,122.0,87.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,15,80.0,69.0,49.0,34.0,23.0,30.0,46.0,68.0,91.0,115.0,125.0,79.0,73.0,63.0,46.0,16.0,17.0,35.0,95.0,183.0,225.0,132.0,134.0,120.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,16,89.0,74.0,65.0,51.0,32.0,33.0,38.0,61.0,94.0,90.0,111.0,55.0,49.0,16.0,7.0,5.0,3.0,10.0,67.0,113.0,158.0,104.0,96.0,94.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,17,87.0,68.0,55.0,34.0,20.0,14.0,38.0,49.0,67.0,66.0,53.0,39.0,10.0,9.0,6.0,5.0,4.0,4.0,3.0,4.0,22.0,31.0,29.0,42.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,18,28.0,26.0,32.0,23.0,19.0,23.0,30.0,35.0,39.0,54.0,52.0,48.0,38.0,18.0,6.0,3.0,3.0,4.0,35.0,65.0,80.0,39.0,21.0,30.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,19,41.0,22.0,18.0,10.0,4.0,7.0,8.0,11.0,16.0,23.0,32.0,26.0,22.0,6.0,6.0,3.0,2.0,3.0,3.0,4.0,26.0,22.0,16.0,15.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,20,11.0,5.0,1.0,2.0,2.0,4.0,8.0,38.0,60.0,69.0,70.0,44.0,27.0,15.0,10.0,9.0,6.0,13.0,9.0,6.0,3.0,3.0,4.0,3.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,21,3.0,3.0,3.0,3.0,3.0,18.0,30.0,51.0,75.0,78.0,58.0,67.0,54.0,6.0,3.0,3.0,4.0,4.0,3.0,4.0,16.0,27.0,42.0,47.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,22,45.0,56.0,45.0,41.0,24.0,20.0,33.0,56.0,61.0,29.0,61.0,74.0,45.0,36.0,18.0,4.0,4.0,5.0,7.0,18.0,39.0,51.0,54.0,50.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,23,43.0,34.0,26.0,10.0,9.0,24.0,32.0,35.0,79.0,128.0,95.0,44.0,46.0,33.0,25.0,12.0,12.0,31.0,12.0,6.0,67.0,100.0,68.0,36.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,24,35.0,52.0,42.0,25.0,27.0,40.0,36.0,62.0,83.0,22.0,68.0,47.0,14.0,13.0,13.0,11.0,11.0,11.0,8.0,5.0,6.0,8.0,33.0,53.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,25,14.0,33.0,10.0,9.0,24.0,25.0,7.0,11.0,27.0,29.0,12.0,23.0,11.0,10.0,6.0,3.0,1.0,4.0,13.0,8.0,16.0,30.0,34.0,43.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,26,12.0,4.0,2.0,1.0,1.0,1.0,1.0,3.0,11.0,10.0,10.0,8.0,6.0,7.0,8.0,4.0,2.0,1.0,2.0,4.0,1.0,3.0,8.0,9.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,27,29.0,6.0,1.0,1.0,1.0,1.0,2.0,16.0,37.0,8.0,8.0,5.0,4.0,3.0,3.0,2.0,3.0,4.0,3.0,6.0,5.0,2.0,3.0,2.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,28,1.0,2.0,2.0,1.0,1.0,4.0,3.0,2.0,4.0,2.0,4.0,5.0,4.0,4.0,2.0,3.0,7.0,13.0,37.0,54.0,6.0,3.0,1.0,1.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
4,7,2021,12,29,5.0,1.0,1.0,1.0,1.0,3.0,5.0,4.0,12.0,12.0,7.0,8.0,10.0,5.0,7.0,5.0,5.0,19.0,5.0,6.0,3.0,2.0,3.0,5.0,Barcelona - Poblenou,2.2045,41.4039,NO,µg/m³
