,sugar_to_flour_ratio,sugar_index,bake_temp,chill_time,calories,density,pH,grams_baking_soda,bake_time,quality,butter_type,weight,mixins,crunch_factor
0,0.25,9.5,300,15.0,136.0,0.99367,8.1,0.44,12.1,8,melted,15.2,raisins,1.3
1,0.23,3.3,520,34.0,113.0,0.99429,8.16,0.48,8.4,7,melted,12.4,raisins,1.71
2,0.18,1.9,360,33.0,106.0,0.98746,8.21,0.83,14.0,9,melted,9.4,"nuts, chocolate",1.78
3,0.18,10.5,490,41.0,124.0,0.9963,8.14,0.35,10.5,7,melted,12.2,chocolate,1.59
4,0.24,2.4,770,6.0,33.0,0.9974,8.09,0.57,9.4,5,cubed,19.8,"nuts, oats, chocolate",1.3
5,0.22,18.15,500,23.0,139.0,0.99904,8.06,0.5,9.2,7,melted,13.2,chocolate,1.16
6,0.39,2.3,410,31.0,102.0,0.99221,8.22,0.58,10.9,9,melted,13.2,chocolate,1.93
7,0.39,2.6,440,30.0,180.0,0.9941,8.46,0.44,10.8,9,melted,15.2,chocolate,1.51
8,0.18,1.8,700,13.0,40.0,0.997,8.44,0.6,9.1,5,cubed,14.2,"nuts, oats, chocolate",1.89
9,0.17,12.9,330,59.0,186.0,0.99754,8.08,0.49,9.4,7,melted,13.8,"nuts, chocolate",1.18
10,0.49,9.6,300,45.0,197.0,0.9938,8.13,0.38,12.3,9,melted,15.2,chocolate,1.65
11,0.29,3.3,370,32.0,140.0,0.9895,8.17,0.36,12.8,9,melted,12.6,chocolate,1.2
12,0.25,7.5,300,18.0,117.0,0.99116,8.09,0.38,13.0,8,melted,13.8,chocolate,1.63
13,0.58,16.75,500,43.0,163.0,0.9999,8.15,0.54,9.2,7,melted,15.2,raisins,1.79
14,0.34,3.4,360,34.0,200.0,0.9937,8.14,0.76,10.0,7,melted,13.0,raisins,1.29
15,0.34,7.6,450,25.0,118.0,0.99222,8.03,0.37,11.0,8,melted,12.0,"nuts, chocolate",1.94
16,0.05,2.1,610,20.0,49.0,0.99705,8.31,0.55,9.7,3,cubed,14.6,"raisins, oats",1.48
17,0.33,7.0,240,14.0,130.0,0.9918,8.25,0.45,12.5,9,melted,15.2,"nuts, chocolate",1.97
18,0.35,1.2,500,36.0,140.0,0.99138,8.09,0.45,11.2,7,melted,15.6,chocolate,1.15
19,0.39,1.0,320,14.0,71.0,0.98912,8.31,0.38,13.0,9,melted,13.4,"chocolate, oats",1.55
20,0.29,2.6,1090,31.0,119.0,0.99801,8.15,0.5,9.1,5,cubed,16.8,"nuts,raisins",1.71
21,0.29,1.6,520,48.0,185.0,0.9934,8.21,0.5,9.4,7,melted,12.6,chocolate,1.78
22,0.31,14.5,450,39.0,193.0,0.9986,8.1,0.5,9.2,8,melted,14.8,"chocolate, oats",1.99
23,0.32,2.5,420,23.0,218.5,0.9935,8.27,0.6,9.8,7,melted,12.2,chocolate,1.73
24,0.32,2.4,480,35.0,103.0,0.9911,8.28,0.46,12.0,10,melted,13.6,raisins,1.68
25,0.4,2.7,820,6.0,11.0,0.99538,8.44,0.54,12.2,6,cubed,15.2,"nuts, chocolate",1.82
26,0.49,9.0,440,31.0,185.0,0.998,8.34,0.49,10.0,8,melted,16.0,chocolate,1.77
27,0.23,2.5,440,16.0,70.0,0.99352,8.46,0.65,12.5,6,cubed,12.2,"nuts,raisins",1.36
28,0.27,4.6,290,22.0,104.0,0.9949,8.34,0.44,9.0,7,melted,11.0,"chocolate, oats",1.62
29,0.44,1.9,850,9.0,22.0,0.99708,8.28,0.55,9.5,5,cubed,18.6,"nuts, chocolate",1.14
30,0.36,13.2,670,53.0,178.0,0.9976,8.01,0.48,9.0,8,melted,14.8,chocolate,1.13
31,0.31,17.3,550,32.0,197.0,1.0002,8.13,0.46,9.0,8,melted,14.6,"chocolate, oats",1.04
32,0.35,1.4,500,23.0,83.0,0.99019,8.17,0.48,12.0,9,melted,13.2,chocolate,1.83
33,0.07,7.1,440,34.0,145.0,0.9945,8.34,0.57,9.7,8,melted,10.6,"nuts,raisins",1.17
34,0.0,1.4,570,15.0,26.0,0.99448,8.36,0.45,9.5,5,cubed,12.0,"nuts,raisins",1.77
35,0.39,8.0,280,22.0,84.0,0.994,8.11,0.66,10.8,8,melted,13.8,"chocolate, oats",1.02
36,0.19,2.0,810,17.0,108.0,0.9962,8.32,0.54,9.5,5,cubed,15.6,"nuts,raisins",1.23
37,0.35,1.6,880,16.0,39.0,0.9961,8.34,0.55,9.2,5,cubed,14.0,"nuts, chocolate",1.95
38,0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,melted,14.0,"chocolate, oats",1.08
39,0.33,15.7,530,51.0,190.0,0.9978,8.22,0.51,9.7,8,melted,13.0,chocolate,1.18
40,0.0,1.9,800,22.0,39.0,0.99701,8.4,0.74,9.7,5,cubed,13.6,"nuts, oats, chocolate",1.08
41,0.27,10.6,390,31.0,119.0,0.99815,8.27,0.3,9.3,8,melted,15.2,raisins,1.43
42,0.26,2.1,390,8.0,143.0,0.9942,8.05,0.74,9.8,7,melted,15.8,"chocolate, oats",1.35
43,0.36,1.4,450,11.0,119.0,0.99556,8.17,0.47,9.4,6,melted,17.2,raisins,1.54
44,0.0,1.9,650,9.0,18.0,0.9972,8.46,0.65,9.2,5,cubed,13.0,"nuts, oats, chocolate",1.58
45,0.16,1.8,650,3.0,16.0,0.9962,8.42,0.92,10.5,7,cubed,16.0,"nuts,raisins",1.28
46,0.24,9.6,1190,56.0,178.0,0.99578,8.15,0.44,10.2,8,melted,14.3,"chocolate, oats",1.51
47,0.23,1.4,470,20.0,77.0,0.99001,8.32,0.62,11.4,7,melted,10.4,chocolate,1.41
48,0.33,1.2,490,12.0,117.0,0.99134,8.46,0.44,11.5,7,melted,11.8,"nuts, chocolate",1.67
49,0.37,9.7,320,17.0,50.0,0.9932,8.08,0.66,12.0,8,melted,12.0,"chocolate, oats",1.08
50,0.23,5.0,530,29.0,106.0,0.99458,8.13,0.52,9.0,7,melted,11.6,raisins,1.76
51,1.0,19.95,320,42.0,164.0,0.99742,8.29,0.5,12.0,8,melted,15.4,"nuts, chocolate",1.16
52,0.07,1.3,350,26.0,102.0,0.992,8.5,0.35,10.6,8,melted,10.6,raisins,1.7
53,0.46,2.5,730,5.0,27.0,1.0001,8.05,0.64,9.5,5,cubed,21.6,"nuts,raisins",1.07
54,0.41,7.0,460,0.0,194.0,0.99558,8.14,0.48,9.4,7,melted,13.2,chocolate,1.52
55,0.27,9.9,470,26.0,101.0,0.99596,8.34,0.5,9.9,8,melted,12.8,"chocolate, oats",1.01
56,0.38,14.9,320,60.0,181.0,0.9983,8.18,0.61,9.3,9,melted,14.0,raisins,1.65
57,0.13,2.1,1020,17.0,36.0,0.9944,8.24,0.53,11.2,6,cubed,15.6,"nuts,raisins",1.66
58,0.31,6.3,290,41.0,131.0,0.99326,8.08,0.49,10.8,8,melted,13.8,chocolate,1.49
59,0.4,2.6,920,13.0,52.0,0.99834,8.22,0.64,10.0,7,cubed,20.2,"nuts, chocolate",1.3
60,0.34,9.7,350,26.0,143.0,0.9965,8.08,0.49,9.8,8,melted,15.2,chocolate,1.4
61,0.48,8.8,560,35.0,167.0,0.99628,8.04,0.47,9.4,7,melted,13.4,raisins,1.84
62,0.3,13.9,290,34.0,131.0,0.9953,8.36,0.5,12.0,9,melted,13.4,chocolate,1.98
63,0.42,7.1,450,41.0,169.0,0.9959,8.17,0.43,10.6,7,melted,16.0,chocolate,1.14
64,0.25,12.5,340,38.0,152.0,0.9977,8.33,0.43,9.4,7,melted,11.8,chocolate,1.85
65,0.58,1.4,2040,15.0,97.0,0.9931,8.16,0.43,10.0,8,melted,12.6,chocolate,1.09
66,0.34,16.3,510,56.0,197.0,1.0004,8.49,0.42,9.8,7,melted,13.0,chocolate,1.54
67,0.27,13.9,570,45.0,155.0,0.99807,7.94,0.41,8.8,10,melted,14.6,"chocolate, oats",1.03
68,0.62,11.0,470,66.0,178.0,0.9976,8.16,0.5,8.7,7,melted,14.4,raisins,1.77
69,0.37,3.2,210,20.0,80.0,0.99076,8.39,0.47,12.0,7,melted,12.3,chocolate,1.55
70,0.31,2.2,440,29.0,128.0,0.9937,8.34,0.64,10.9,10,melted,14.2,chocolate,1.91
71,0.42,1.7,450,49.0,154.0,0.992,8.0,0.6,10.4,8,melted,14.8,"chocolate, oats",1.39
72,0.49,2.7,980,12.0,42.0,1.0004,8.16,0.61,10.3,5,cubed,23.8,raisins,1.18
73,0.41,12.9,440,79.5,182.0,0.99742,8.24,0.78,10.2,8,melted,13.6,"chocolate, oats",1.34
74,0.26,9.55,360,35.0,91.0,0.9919,7.98,0.37,12.4,8,melted,13.4,raisins,1.21
75,0.49,1.1,480,21.0,98.0,0.9929,8.19,0.48,9.2,7,melted,11.6,"chocolate, oats",1.7
76,0.19,0.8,480,17.0,204.0,0.9934,8.34,0.56,10.0,7,melted,13.2,"raisins, oats",1.19
77,0.29,4.0,380,33.0,170.0,0.99463,8.27,0.64,10.2,8,melted,14.2,raisins,1.75
78,0.24,5.1,360,43.0,131.0,0.99186,8.24,0.44,11.3,8,melted,12.6,"nuts, chocolate",1.15
79,0.28,1.2,310,33.0,97.0,0.99126,8.49,0.58,10.9,8,melted,11.2,raisins,1.6
80,0.19,6.6,450,98.0,175.0,0.99364,8.16,0.34,10.1,8,melted,13.0,chocolate,1.76
81,0.26,1.2,500,11.5,88.0,0.9946,8.24,0.37,9.5,6,melted,16.0,raisins,1.49
82,0.32,1.4,430,28.0,93.0,0.9897,8.31,0.5,12.3,8,melted,11.4,raisins,1.42
83,0.06,1.0,300,9.0,131.0,0.9904,7.97,0.29,10.8,7,melted,12.8,"nuts, chocolate",1.81
84,0.23,5.8,350,24.0,100.0,0.99062,8.15,0.57,13.2,9,melted,14.2,"nuts, chocolate",1.69
85,0.33,4.9,470,42.0,130.0,0.99283,8.12,0.56,11.0,8,melted,13.6,"chocolate, oats",1.21
86,0.25,5.8,380,52.0,155.0,0.995,8.28,0.38,9.4,8,melted,12.6,chocolate,1.09
87,0.34,1.2,480,4.0,119.0,0.99084,8.18,0.34,12.1,8,melted,15.4,raisins,1.91
88,0.22,2.7,840,4.0,18.0,0.99682,8.26,0.57,9.9,6,cubed,16.8,"nuts,raisins",1.4
89,0.38,8.6,520,41.0,150.0,0.99534,8.06,0.46,10.3,7,melted,14.8,chocolate,1.32
90,0.18,7.5,410,71.0,223.0,0.9959,8.14,0.41,8.9,7,melted,13.6,raisins,1.48
91,0.21,5.1,350,29.0,142.0,0.9942,8.36,0.33,10.1,9,melted,12.6,chocolate,1.51
92,0.31,4.8,340,34.0,132.0,0.9944,8.36,0.48,9.6,9,melted,14.0,"chocolate, oats",1.03
93,0.16,1.3,540,11.0,107.0,0.99398,8.19,0.39,8.5,7,melted,13.0,raisins,1.09
94,0.31,5.6,490,24.0,97.0,0.993,8.1,0.42,10.9,7,melted,16.0,chocolate,1.66
95,0.29,4.9,360,41.0,150.0,0.99168,8.38,0.43,12.2,8,melted,14.0,raisins,1.39
96,0.39,6.4,340,8.0,84.0,0.9942,8.18,0.46,11.5,7,melted,14.6,chocolate,1.16
97,0.28,14.7,510,29.0,149.0,0.99792,7.96,0.39,9.0,9,melted,14.0,"chocolate, oats",1.43
98,0.21,2.2,440,15.0,68.0,0.9932,8.17,0.39,9.4,8,melted,13.6,raisins,1.75
99,0.49,4.5,480,27.0,133.0,0.9946,8.24,0.42,10.6,8,melted,15.8,"chocolate, oats",1.16
100,0.31,0.95,210,52.0,148.0,0.99038,7.93,0.32,11.5,7,melted,16.8,raisins,1.86
101,0.22,1.5,430,45.0,155.0,0.99238,8.19,0.48,10.2,7,melted,12.6,"chocolate, oats",1.13
102,0.28,5.0,350,42.0,126.0,0.99048,8.12,0.38,12.6,9,melted,13.6,chocolate,1.7
103,0.24,1.5,360,38.0,124.0,0.9898,8.29,0.42,12.4,9,melted,12.2,raisins,1.77
104,0.2,1.9,770,28.0,54.0,0.9956,8.37,0.64,10.4,6,cubed,14.2,"nuts, chocolate",1.48
105,0.51,8.0,470,61.0,189.0,0.99604,8.22,0.49,9.2,7,melted,13.2,chocolate,1.91
106,0.0,2.2,730,12.0,22.0,0.9969,8.48,0.5,9.3,5,cubed,14.2,"nuts, oats, chocolate",1.94
107,0.39,12.4,650,29.0,119.0,0.9974,8.16,0.39,9.4,7,melted,15.0,raisins,1.49
108,0.32,7.75,320,30.0,114.0,0.99158,8.12,0.64,12.8,9,melted,14.0,chocolate,1.36
109,0.21,4.1,740,16.0,65.0,0.99842,8.53,0.72,9.233333333,6,cubed,13.8,"chocolate, peanut butter",1.47
110,0.49,1.1,300,28.0,117.0,0.9918,8.55,0.45,10.3,8,melted,11.2,"chocolate, oats",1.62
111,0.24,5.4,350,33.0,115.0,0.9901,8.12,0.44,12.89333333,9,melted,13.4,"nuts, chocolate",1.07
112,0.32,10.6,490,38.0,209.0,0.9981,8.47,0.59,9.3,8,melted,12.6,"nuts, chocolate",1.6
113,0.35,2.8,380,10.0,164.0,0.9912,8.09,0.53,12.0,8,melted,13.6,raisins,1.27
114,0.28,5.0,580,14.0,146.0,0.9952,8.29,0.36,9.1,8,melted,13.8,"chocolate, oats",1.68
115,0.48,1.2,290,29.0,75.0,0.9892,8.33,0.39,12.8,10,melted,12.4,"nuts, oats, chocolate",1.2
116,0.14,8.9,360,38.0,155.0,0.99622,8.27,0.5,9.4,7,melted,12.4,raisins,1.99
117,0.32,1.9,380,40.0,118.0,0.99074,8.32,0.53,11.8,9,melted,12.8,chocolate,1.17
118,0.34,1.6,1190,33.0,104.0,0.9921,8.19,0.38,10.2,8,melted,12.0,chocolate,1.25
119,0.49,15.4,460,13.0,119.0,1.0004,8.18,0.45,9.5,7,melted,19.6,raisins,1.75
120,0.3,1.6,460,29.0,130.0,0.9942,8.22,0.38,9.8,8,melted,17.4,"chocolate, oats",1.03
121,0.36,15.7,450,68.0,183.0,0.99922,8.25,0.76,9.4,7,melted,14.4,chocolate,1.05
122,0.4,1.2,760,47.0,130.0,0.99185,8.13,0.45,10.3,8,melted,11.6,chocolate,1.45
123,0.31,9.4,460,6.0,194.0,0.99714,8.07,0.61,9.4,7,melted,15.2,"nuts, chocolate",1.22
124,0.26,2.1,620,26.0,87.0,0.98974,8.1,0.47,12.8,8,melted,16.4,raisins,1.7
125,0.74,13.5,390,46.0,165.0,0.9982,8.02,0.4,8.7,7,melted,14.6,raisins,1.87
126,0.36,10.7,440,20.0,90.0,0.9959,8.16,0.44,10.9,9,melted,14.2,"chocolate, oats",1.34
127,0.07,1.7,860,15.0,48.0,0.99502,8.12,0.48,10.0,5,cubed,14.8,"nuts, oats",1.17
128,0.32,2.4,450,29.0,100.0,0.99135,8.08,0.6,11.3,9,melted,15.0,chocolate,1.95
129,0.28,4.8,850,12.0,69.0,0.99633,8.32,0.7,11.0,6,cubed,14.0,"nuts,raisins",1.79
130,0.37,1.5,430,16.0,104.0,0.99216,8.18,0.5,10.8,7,melted,14.0,"chocolate, oats",1.42
131,0.4,7.3,410,49.0,115.0,0.99268,8.21,0.43,11.0,8,melted,13.0,chocolate,1.64
