id,fund_id,amount,completed_on
1,1,9152.4,2017-03-22
2,1,3050.8,2017-03-22
3,1,10677.8,2017-03-22
8,3,2288.1,2017-03-22
9,3,762.7,2017-03-22
10,3,2669.45,2017-03-22
16,1,9152.4,2017-03-29
17,1,3050.8,2017-03-29
18,1,10677.8,2017-03-29
23,3,2288.1,2017-03-29
24,3,762.7,2017-03-29
25,3,2669.45,2017-03-29
31,1,9152.4,2017-04-05
32,1,3050.8,2017-04-05
33,1,10677.8,2017-04-05
38,3,2288.1,2017-04-05
39,3,762.7,2017-04-05
40,3,2669.45,2017-04-05
46,1,9152.4,2017-04-12
47,1,3050.8,2017-04-12
48,1,10677.8,2017-04-12
53,3,2288.1,2017-04-12
54,3,762.7,2017-04-12
55,3,2669.45,2017-04-12
61,1,9152.4,2017-04-19
62,1,3050.8,2017-04-19
63,1,10677.8,2017-04-19
65,1,3050.8,2017-04-19
68,3,2288.1,2017-04-19
69,3,762.7,2017-04-19
70,3,2669.45,2017-04-19
72,3,762.7,2017-04-19
76,1,9152.4,2017-04-26
77,1,3050.8,2017-04-26
78,1,10677.8,2017-04-26
83,3,2288.1,2017-04-26
84,3,762.7,2017-04-26
85,3,2669.45,2017-04-26
91,1,9152.4,2017-05-03
92,1,3050.8,2017-05-03
93,1,10677.8,2017-05-03
98,3,2288.1,2017-05-03
99,3,762.7,2017-05-03
100,3,2669.45,2017-05-03
106,1,9152.4,2017-05-10
107,1,3050.8,2017-05-10
108,1,10677.8,2017-05-10
113,3,2288.1,2017-05-10
114,3,762.7,2017-05-10
115,3,2669.45,2017-05-10
121,1,9152.4,2017-05-17
122,1,3050.8,2017-05-17
123,1,10677.8,2017-05-17
128,3,2288.1,2017-05-17
129,3,762.7,2017-05-17
130,3,2669.45,2017-05-17
136,1,9152.4,2017-05-24
137,1,3050.8,2017-05-24
138,1,10677.8,2017-05-24
141,1,4576.2,2017-05-24
143,3,2288.1,2017-05-24
144,3,762.7,2017-05-24
145,3,2669.45,2017-05-24
148,3,1144.05,2017-05-24
151,1,9152.4,2017-05-31
152,1,3050.8,2017-05-31
153,1,10677.8,2017-05-31
154,1,3050.8,2017-05-31
158,3,2288.1,2017-05-31
159,3,762.7,2017-05-31
160,3,2669.45,2017-05-31
161,3,762.7,2017-05-31
166,1,9152.4,2017-06-07
167,1,3050.8,2017-06-07
168,1,10677.8,2017-06-07
173,3,2288.1,2017-06-07
174,3,762.7,2017-06-07
175,3,2669.45,2017-06-07
181,1,9152.4,2017-06-14
182,1,3050.8,2017-06-14
183,1,10677.8,2017-06-14
188,3,2288.1,2017-06-14
189,3,762.7,2017-06-14
190,3,2669.45,2017-06-14
196,1,9152.4,2017-06-21
197,1,3050.8,2017-06-21
198,1,10677.8,2017-06-21
203,3,2288.1,2017-06-21
204,3,762.7,2017-06-21
205,3,2669.45,2017-06-21
211,1,9152.4,2017-06-28
212,1,3050.8,2017-06-28
213,1,10677.8,2017-06-28
218,3,2288.1,2017-06-28
219,3,762.7,2017-06-28
220,3,2669.45,2017-06-28
226,1,9152.4,2017-07-05
227,1,3050.8,2017-07-05
228,1,10677.8,2017-07-05
233,3,2288.1,2017-07-05
234,3,762.7,2017-07-05
235,3,2669.45,2017-07-05
241,1,9152.4,2017-07-12
242,1,3050.8,2017-07-12
243,1,10677.8,2017-07-12
248,3,2288.1,2017-07-12
249,3,762.7,2017-07-12
250,3,2669.45,2017-07-12
256,1,9152.4,2017-07-19
257,1,3050.8,2017-07-19
258,1,10677.8,2017-07-19
263,3,2288.1,2017-07-19
264,3,762.7,2017-07-19
265,3,2669.45,2017-07-19
271,1,9152.4,2017-07-26
272,1,3050.8,2017-07-26
273,1,10677.8,2017-07-26
278,3,2288.1,2017-07-26
279,3,762.7,2017-07-26
280,3,2669.45,2017-07-26
286,1,9152.4,2017-08-02
287,1,3050.8,2017-08-02
288,1,10677.8,2017-08-02
293,3,2288.1,2017-08-02
294,3,762.7,2017-08-02
295,3,2669.45,2017-08-02
301,1,9152.4,2017-08-09
302,1,3050.8,2017-08-09
303,1,10677.8,2017-08-09
308,3,2288.1,2017-08-09
309,3,762.7,2017-08-09
310,3,2669.45,2017-08-09
316,1,9152.4,2017-08-16
317,1,3050.8,2017-08-16
