fund_id,Amount,fund price on
1,1.336,2015-06-01
1,1.341,2015-06-15
1,1.125,2015-06-23
1,1.07,2015-06-25
1,1.324,2015-06-29
1,1.081,2015-07-02
1,1.137,2015-07-07
1,1.081,2015-07-09
1,1.329,2015-07-13
1,1.07,2015-07-16
1,1.146,2015-07-21
1,1.084,2015-07-23
1,1.397,2015-07-27
1,1.084,2015-07-30
1,1.097,2015-08-04
1,1.099,2015-08-06
1,1.4,2015-08-10
1,1.091,2015-08-13
1,1.067,2015-08-18
1,1.095,2015-08-20
1,1.393,2015-08-24
1,1.117,2015-08-27
1,1.087,2015-09-01
1,1.128,2015-09-03
1,1.12,2015-09-07
1,1.121,2015-09-10
1,1.104,2015-09-15
1,1.106,2015-09-17
1,1.135,2015-09-21
1,1.125,2015-09-24
1,1.075,2015-09-29
1,1.12,2015-10-01
1,1.089,2015-10-05
1,1.105,2015-10-08
1,1.058,2015-10-13
1,1.281,2015-10-14
1,1.141,2015-10-15
1,1.136,2015-10-19
1,1.134,2015-10-22
1,1.048,2015-10-27
1,1.289,2015-10-28
1,1.155,2015-10-29
1,1.185,2015-11-02
1,1.171,2015-11-05
1,1.012,2015-11-10
1,1.296,2015-11-11
1,1.167,2015-11-12
1,1.187,2015-11-16
1,1.159,2015-11-19
1,1.039,2015-11-24
1,1.299,2015-11-25
1,1.158,2015-11-26
1,1.204,2015-11-30
1,1.17,2015-12-03
1,1.069,2015-12-08
1,1.298,2015-12-09
1,1.169,2015-12-10
1,1.207,2015-12-14
1,1.177,2015-12-17
1,1.081,2015-12-22
1,1.307,2015-12-23
1,1.19,2015-12-24
1,1.21,2015-12-28
1,1.18,2015-12-31
1,1.084,2016-01-05
1,1.309,2016-01-06
1,1.153,2016-01-07
1,1.231,2016-01-11
1,1.153,2016-01-14
1,1.095,2016-01-19
1,1.313,2016-01-20
1,1.153,2016-01-21
1,1.221,2016-01-25
1,1.167,2016-01-28
1,1.117,2016-02-02
1,1.32,2016-02-03
1,1.173,2016-02-04
1,1.214,2016-02-08
1,1.167,2016-02-11
1,1.125,2016-02-16
1,1.318,2016-02-17
1,1.159,2016-02-18
1,1.209,2016-02-22
1,1.175,2016-02-25
1,1.152,2016-02-28
1,1.125,2016-03-01
1,1.313,2016-03-02
1,1.155,2016-03-03
1,1.23,2016-03-07
1,1.186,2016-03-10
